Judge,,1,2,3,,4,5,15,,12,13,14
,,,,,,,,,,,,
CM,,2.01,3.1,1.001,,3.1,2.01,1.001,,,,
CP,,2.01,3.1,1.001,,3.1,2.01,1.001,,,,
RM,,3.1,2.01,1.001,,3.1,2.01,1.001,,,,
KM,,2.01,1.001,3.1,,3.1,2.01,1.001,,,,
TM,,,,,,3.1,1.001,2.01,,,,
MM,,,,,,3.1,1.001,2.01,,,,
,,,,,,,,,,,,
Total,,9.13,9.211,6.103,,18.6,10.042,8.024,,0,0,0
